,num_topic,topic,user,location,language,retweet_count,followers_count,geo_location,created_at,compound,neg,neu,pos
51,1,pedro sanchez,Cthulhuloveit,,es,0,146,,2020-09-10 07:30:54,0.0,0.0,1.0,0.0
52,1,pedro sanchez,gelucatwit,,es,163,323,,2020-09-10 07:30:51,0.0,0.0,1.0,0.0
53,1,pedro sanchez,GuadarraMartin,"Comunidad de Madrid, España",es,3741,8,,2020-09-10 07:30:50,0.34,0.0,0.906,0.094
54,1,pedro sanchez,Patricia_yop123,,es,2826,40,,2020-09-10 07:30:50,0.0,0.0,1.0,0.0
55,1,pedro sanchez,Diegoscorpions,,es,3595,237,,2020-09-10 07:30:49,0.34,0.0,0.893,0.107
56,1,pedro sanchez,pyme_emprende,España,es,761,428,,2020-09-10 07:30:47,0.0,0.0,1.0,0.0
57,1,pedro sanchez,ElSrDerecha,Valencia,es,28,17637,,2020-09-10 07:30:43,0.34,0.0,0.909,0.091
58,1,pedro sanchez,castielthepunis,"Gotham, grand line, ESPAÑA",es,86,532,,2020-09-10 07:30:43,0.0,0.0,1.0,0.0
59,1,pedro sanchez,jculebras,Enamorado de Mi Madrid !!!,es,0,262,,2020-09-10 07:30:43,0.0,0.0,1.0,0.0
60,1,pedro sanchez,Sara28Jc,,es,86,466,,2020-09-10 07:30:35,0.0,0.0,1.0,0.0
61,1,pedro sanchez,Nichinsky,,es,1520,50,,2020-09-10 07:30:35,0.0,0.0,1.0,0.0
62,1,pedro sanchez,AntonioBarbero,"Madrid, Comunidad de Madrid",es,1012,635,,2020-09-10 07:30:33,-0.296,0.084,0.916,0.0
63,1,pedro sanchez,Othar23242073,,es,0,39,,2020-09-10 07:30:33,-0.296,0.081,0.919,0.0
64,1,pedro sanchez,manu_eslava,"Valencia, Spain",es,86,173,,2020-09-10 07:30:32,0.0,0.0,1.0,0.0
65,1,pedro sanchez,Franlo101,,es,40,21,,2020-09-10 07:30:30,0.34,0.0,0.912,0.088
66,1,pedro sanchez,Berkut_35,"Cataluña, EspaÑa",es,4,809,,2020-09-10 07:30:29,0.0,0.0,1.0,0.0
67,1,pedro sanchez,eavfch,,es,61,177,,2020-09-10 07:30:29,0.0,0.0,1.0,0.0
68,1,pedro sanchez,maestrajunio14,,es,1520,90,,2020-09-10 07:30:27,0.0,0.0,1.0,0.0
69,1,pedro sanchez,madamendezg,,es,102,72,,2020-09-10 07:30:26,-0.5859,0.156,0.844,0.0
70,1,pedro sanchez,DeTodoUnNada,,es,696,809,,2020-09-10 07:30:23,-0.4939,0.127,0.873,0.0
71,1,pedro sanchez,annacristi66,"Cambrils, Cataluña, España",es,28,5527,,2020-09-10 07:30:23,0.34,0.0,0.909,0.091
72,1,pedro sanchez,Cris00214771,"Madrid, Comunidad de Madrid",es,1520,99,,2020-09-10 07:30:12,0.0,0.0,1.0,0.0
73,1,pedro sanchez,lolyrojasb,,es,12042,314,,2020-09-10 07:30:11,-0.296,0.084,0.916,0.0
74,1,pedro sanchez,11caco,,es,86,168,,2020-09-10 07:30:09,0.0,0.0,1.0,0.0
75,1,pedro sanchez,ZComponte,"Esta España mía, esta España n",es,99,2006,,2020-09-10 07:30:07,0.0,0.0,1.0,0.0
76,1,pedro sanchez,Castor_Max0,,es,86,455,,2020-09-10 07:30:05,0.0,0.0,1.0,0.0
77,1,pedro sanchez,hacheverdadero,España,es,982,107,,2020-09-10 07:30:01,0.0,0.0,1.0,0.0
78,1,pedro sanchez,larazon_es,España,es,2,521825,,2020-09-10 07:30:01,0.0,0.0,1.0,0.0
79,1,pedro sanchez,ChusDiazTrapi,Pozuelo de Alarcón. España,es,0,3281,,2020-09-10 07:29:56,0.34,0.0,0.906,0.094
80,1,pedro sanchez,imorgon14,,es,1064,2798,,2020-09-10 07:29:53,0.0,0.0,1.0,0.0
81,1,pedro sanchez,jaavii009,,es,1,751,,2020-09-10 07:29:50,0.0,0.0,1.0,0.0
82,1,pedro sanchez,Alex_Requeijo,,es,0,5718,,2020-09-10 07:29:47,-0.296,0.136,0.864,0.0
83,1,pedro sanchez,joseph65102920,,es,2,411,,2020-09-10 07:29:47,-0.296,0.095,0.905,0.0
84,1,pedro sanchez,gbjusti,Navarra,es,432,766,,2020-09-10 07:29:46,0.0,0.0,1.0,0.0
85,1,pedro sanchez,papo_el_cocas,"Málaga, España",es,1,99,,2020-09-10 07:29:43,0.0,0.0,1.0,0.0
86,1,pedro sanchez,BMartin24438951,,es,86,23,,2020-09-10 07:29:42,0.0,0.0,1.0,0.0
87,1,pedro sanchez,ACabezasMacian,Alicante ,es,15,394,,2020-09-10 07:29:38,0.0,0.0,1.0,0.0
88,1,pedro sanchez,NICOLASRAMOSAL7,"Palma, España",es,1520,1482,,2020-09-10 07:29:38,0.0,0.0,1.0,0.0
89,1,pedro sanchez,LadyPichi,,es,15,58,,2020-09-10 07:29:37,0.0,0.0,1.0,0.0
90,1,pedro sanchez,davidperez,Alcorcón,es,49,20904,,2020-09-10 07:29:37,0.0,0.0,1.0,0.0
91,1,pedro sanchez,EspanaSiemprVox,España,es,28,11410,,2020-09-10 07:29:34,0.34,0.0,0.909,0.091
92,1,pedro sanchez,yoyomisma66,España,es,86,8,,2020-09-10 07:29:33,0.0,0.0,1.0,0.0
93,1,pedro sanchez,FEstilicon,,es,40,151,,2020-09-10 07:29:33,0.34,0.0,0.912,0.088
94,1,pedro sanchez,007martin,Sevilla...,es,432,636,,2020-09-10 07:29:30,0.0,0.0,1.0,0.0
95,1,pedro sanchez,Telegrafia02,,es,3741,12488,,2020-09-10 07:29:30,0.34,0.0,0.906,0.094
96,1,pedro sanchez,Grozca1,,es,86,99,,2020-09-10 07:29:29,0.0,0.0,1.0,0.0
97,1,pedro sanchez,jmolinervlc,,es,18,7349,,2020-09-10 07:29:27,0.0,0.0,1.0,0.0
98,1,pedro sanchez,Dem1Reg,"Madrid, Comunidad de Madrid",es,75,5500,,2020-09-10 07:29:26,0.0,0.0,1.0,0.0
99,1,pedro sanchez,luiscarriolaria,Asturias-Vitoria,es,3,755,,2020-09-10 07:29:23,0.0,0.0,1.0,0.0
100,1,pedro sanchez,porPeriodismo,"Madrid, Comunidad de Madrid",es,3273,163,,2020-09-10 07:29:22,0.0936,0.065,0.859,0.076
101,1,pedro sanchez,HipolitoMassana,,es,1,134,,2020-09-10 07:29:20,0.0,0.0,1.0,0.0
102,1,pedro sanchez,CurritoRojo,,es,2,4552,,2020-09-10 07:29:18,-0.296,0.121,0.879,0.0
103,1,pedro sanchez,JoseCarlitos17,Ciudad del Betis,es,3741,423,,2020-09-10 07:29:16,0.34,0.0,0.906,0.094
104,1,pedro sanchez,jpmarin68,,es,86,20,,2020-09-10 07:29:14,0.0,0.0,1.0,0.0
105,1,pedro sanchez,Desescalador1,,es,15,301,,2020-09-10 07:29:11,0.0,0.0,1.0,0.0
106,1,pedro sanchez,galileahejlt,"Toronto, Ontario",es,159,539,,2020-09-10 07:29:09,0.0,0.0,1.0,0.0
